Item,Paired Associate,Item ID,Cat
bok,balk,1,PH
bawque,balk,2,PH
bol,ball,3,PH
bain,bane,4,PH
beign,bane,5,PH
bahrn,barn,6,PH
basc,bask,7,PH
binje,binge,8,PH
binj,binge,9,PH
berd,bird,10,PH
burth,birth,11,PH
blak,black,12,PH
blaque,black,13,PH
blaim,blame,14,PH
bleighm,blame,15,PH
bleek,bleak,16,PH
bleeque,bleak,17,PH
blits,blitz,18,PH
blitts,blitz,19,PH
blote,bloat,20,PH
blud,blood,21,PH
blewm,bloom,22,PH
blume,bloom,23,PH
bord,board,24,PH
bote,boat,25,PH
bondz,bonds,26,PH
bauns,bonds,27,PH
baunz,bonds,28,PH
boan,bone,29,PH
boane,bone,30,PH
bor,bore,31,PH
boarn,born,32,PH
boath,both,33,PH
boathe,both,34,PH
bawt,bought,35,PH
bawte,bought,36,PH
boal,bowl,37,PH
boale,bowl,38,PH
bawx,box,39,PH
bawks,box,40,PH
brane,brain,41,PH
breign,brain,42,PH
braive,brave,43,PH
breth,breath,44,PH
brede,breed,45,PH
brybe,bribe,46,PH
brickz,bricks,47,PH
bryx,bricks,48,PH
bryde,bride,49,PH
bryed,bride,50,PH
breef,brief,51,PH
brefe,brief,52,PH
brephe,brief,53,PH
bryne,brine,54,PH
brighne,brine,55,PH
broun,brown,56,PH
broot,brute,57,PH
bern,burn,58,PH
kake,cake,59,PH
caik,cake,60,PH
kaique,cake,61,PH
kalled,called,62,PH
cauld,called,63,PH
kauld,called,64,PH
kamp,camp,65,PH
kape,cape,66,PH
caip,cape,67,PH
kaip,cape,68,PH
keighp,cape,69,PH
kelt,celt,70,PH
chaif,chafe,71,PH
chare,chair,72,PH
chace,chase,73,PH
cheet,cheat,74,PH
cheete,cheat,75,PH
chek,check,76,PH
cheeze,cheese,77,PH
cheaze,cheese,78,PH
chyde,chide,79,PH
chied,chide,80,PH
chighd,chide,81,PH
cheef,chief,82,PH
cheefe,chief,83,PH
cheaph,chief,84,PH
choyce,choice,85,PH
choak,choke,86,PH
choar,chore,87,PH
chirch,church,88,PH
cherch,church,89,PH
chern,churn,90,PH
klap,clap,91,PH
clawd,clawed,92,PH
cleen,clean,93,PH
clene,clean,94,PH
klene,clean,95,PH
cleer,clear,96,PH
clere,clear,97,PH
klere,clear,98,PH
clymb,climb,99,PH
clime,climb,100,PH
klymb,climb,101,PH
klyme,climb,102,PH
cleim,climb,103,PH
kleim,climb,104,PH
klout,clout,105,PH
clowt,clout,106,PH
klowt,clout,107,PH
klunk,clunk,108,PH
koast,coast,109,PH
koat,coat,110,PH
coate,coat,111,PH
kote,coat,112,PH
koate,coat,113,PH
kode,code,114,PH
coad,code,115,PH
koad,code,116,PH
coyn,coin,117,PH
coyne,coin,118,PH
koyne,coin,119,PH
kope,cope,120,PH
coap,cope,121,PH
koap,cope,122,PH
kost,cost,123,PH
cawst,cost,124,PH
kawst,cost,125,PH
cawced,cost,126,PH
kawced,cost,127,PH
coph,cough,128,PH
koph,cough,129,PH
kawf,cough,130,PH
coart,court,131,PH
kourt,court,132,PH
cort,court,133,PH
kort,court,134,PH
krash,crash,135,PH
creem,cream,136,PH
kreem,cream,137,PH
krick,crick,138,PH
crik,crick,139,PH
kroak,croak,140,PH
croke,croak,141,PH
kroke,croak,142,PH
krux,crux,143,PH
crucks,crux,144,PH
krucks,crux,145,PH
kute,cute,146,PH
cuit,cute,147,PH
kuit,cute,148,PH
darck,dark,149,PH
dait,date,150,PH
deel,deal,151,PH
deele,deal,152,PH
derth,dearth,153,PH
dence,dense,154,PH
dyce,dice,155,PH
durt,dirt,156,PH
dyve,dive,157,PH
daul,doll,158,PH
dewm,doom,159,PH
dowt,doubt,160,PH
dreem,dream,161,PH
dreame,dream,162,PH
dreeme,dream,163,PH
drinc,drink,164,PH
dum,dumb,165,PH
fakt,fact,166,PH
faul,fall,167,PH
phall,fall,168,PH
phaul,fall,169,PH
falce,false ,170,PH
phalse,false ,171,PH
phalce,false ,172,PH
fait,fate,173,PH
phait,fate,174,PH
fawlt,fault,175,PH
phault,fault,176,PH
phawlt,fault,177,PH
feer,fear,178,PH
feere,fear,179,PH
phear,fear,180,PH
pheere,fear,181,PH
fead,feed,182,PH
pheed,feed,183,PH
phead,feed,184,PH
feal,feel,185,PH
pheel,feel,186,PH
pheal,feel,187,PH
phelt,felt,188,PH
feand,fiend,189,PH
feend,fiend,190,PH
pheand,fiend,191,PH
pheend,fiend,192,PH
feende,fiend,193,PH
philm,film,194,PH
fynch,finch,195,PH
phynch,finch,196,PH
finc,fink,197,PH
finck,fink,198,PH
phinc,fink,199,PH
phinck,fink,200,PH
ferm,firm,201,PH
phirm,firm,202,PH
pherm,firm,203,PH
furst,first,204,PH
phirst,first,205,PH
phurst,first,206,PH
flaim,flame,207,PH
phlame,flame,208,PH
phlaim,flame,209,PH
phlat,flat,210,PH
flont,flaunt,211,PH
phlaunt,flaunt,212,PH
phlont,flaunt,213,PH
flae,flay,214,PH
flite,flight,215,PH
phlight,flight,216,PH
phlite,flight,217,PH
flyp ,flip,218,PH
phlip ,flip,219,PH
phlyp,flip,220,PH
floc,flock,221,PH
flok,flock,222,PH
flawk,flock,223,PH
phloc,flock,224,PH
phlock,flock,225,PH
phlawk,flock,226,PH
flawg,flog,227,PH
floar,floor,228,PH
flore,floor,229,PH
phloor,floor,230,PH
phlore,floor,231,PH
phloar,floor,232,PH
floze,flows,233,PH
phlows,flows,234,PH
phloze,flows,235,PH
floom,flume,236,PH
phlume,flume,237,PH
phloom,flume,238,PH
fole,foal,239,PH
phoal,foal,240,PH
phole,foal,241,PH
fome,foam,242,PH
phoam,foam,243,PH
phome,foam,244,PH
foze,foes,245,PH
forse,force,246,PH
foarse,force,247,PH
phorce,force,248,PH
phorse,force,249,PH
fawght,fought,250,PH
fawt,fought,251,PH
fawte,fought,252,PH
phawt,fought,253,PH
phawte,fought,254,PH
fownd,found,255,PH
phound,found,256,PH
phownd,found,257,PH
focks,fox,258,PH
fawx,fox,259,PH
phox,fox,260,PH
phocks,fox,261,PH
phawcks,fox,262,PH
freigh,fray,263,PH
phray,fray,264,PH
phrey,fray,265,PH
phreigh,fray,266,PH
freek,freak,267,PH
freec,freak,268,PH
phreec,freak,269,PH
phreek,freak,270,PH
phret,fret,271,PH
frunt,front,272,PH
phrunt,front,273,PH
frute,fruit,274,PH
phroot,fruit,275,PH
phrute,fruit,276,PH
gaph,gaffe,277,PH
gane,gain,278,PH
gaim,game,279,PH
gaip,gape,280,PH
gaige,gauge,281,PH
gaije,gauge,282,PH
ghaige,gauge,283,PH
ghaije,gauge,284,PH
gaize,gaze,285,PH
goast,ghost,286,PH
goaste,ghost,287,PH
gool,ghoul,288,PH
gule,ghoul,289,PH
gurd,gird,290,PH
gerd,gird,291,PH
ghurd,gird,292,PH
gerl,girl,293,PH
gurl,girl,294,PH
gleen,glean,295,PH
gleene,glean,296,PH
gleane,glean,297,PH
ghleen,glean,298,PH
ghlean,glean,299,PH
gloab,globe,300,PH
glume,gloom,301,PH
glew,glue,302,PH
gote,goat,303,PH
ghoat,goat,304,PH
ghote,goat,305,PH
ghoate,goat,306,PH
gaud,god,307,PH
ghaud,god,308,PH
goez,goes,309,PH
ghoez,goes,310,PH
ghoze,goes,311,PH
goald,gold,312,PH
golph,golf,313,PH
gaulf,golf,314,PH
gaulph,golf,315,PH
goar,gore,316,PH
ghore,gore,317,PH
ghoar,gore,318,PH
grane,grain,319,PH
greign,grain,320,PH
graive,grave,321,PH
greyve,grave,322,PH
grean,green,323,PH
greef,grief,324,PH
greeph,grief,325,PH
greeve,grieve,326,PH
grume,groom,327,PH
groap,grope,328,PH
growp,grope,329,PH
groop,group,330,PH
grupe,group,331,PH
grewp,group,332,PH
groe,grow,333,PH
gess,guess,334,PH
gide,guide,335,PH
ghile,guile,336,PH
ghyle,guile,337,PH
gilt,guilt,338,PH
hazz,has,339,PH
hait,hate,340,PH
hedd,head,341,PH
heer,hear,342,PH
heet,heat,343,PH
hokes,hoax,344,PH
hoan,hone,345,PH
hoap,hope,346,PH
hoarn,horn,347,PH
jale,jail,348,PH
joynt,joint,349,PH
joak,joke,350,PH
jooce,juice,351,PH
jewce,juice,352,PH
keap,keep,353,PH
keyp,keep,354,PH
keez,keys,355,PH
keaz,keys,356,PH
keaze,keys,357,PH
keeze,keys,358,PH
kight,kite,359,PH
gnave,knave,360,PH
knaive,knave,361,PH
neighve,knave,362,PH
gnaive,knave,363,PH
kneal,kneel,364,PH
neel,kneel,365,PH
neal,kneel,366,PH
gnelt,knelt,367,PH
nelt,knelt,368,PH
gnife,knife,369,PH
nife,knife,370,PH
niphe,knife,371,PH
gniphe,knife,372,PH
laff,laugh,373,PH
leep,leap,374,PH
lern,learn,375,PH
lurn,learn,376,PH
leese,lease,377,PH
leest,least,378,PH
lude,lewd,379,PH
lawge,lodge,380,PH
lawje,lodge,381,PH
looce,loose,382,PH
luce,loose,383,PH
lirch,lurch,384,PH
mait,mate,385,PH
maite,mate,386,PH
meel,meal,387,PH
ment,meant,388,PH
mirge,merge,389,PH
murge,merge,390,PH
merje,merge,391,PH
mirje,merge,392,PH
mirj,merge,393,PH
murj,merge,394,PH
myne,mine,395,PH
merth,mirth,396,PH
myrth,mirth,397,PH
murthe,mirth,398,PH
munth,month,399,PH
muve,move,400,PH
muel,mule,401,PH
neet,neat,402,PH
nues,news,403,PH
nyne,nine,404,PH
nighne,nine,405,PH
noade,node,406,PH
noad,node,407,PH
knode,node,408,PH
knoad,node,409,PH
gnode,node,410,PH
noize,noise,411,PH
noyze,noise,412,PH
noyz,noise,413,PH
nerse,nurse,414,PH
nurce,nurse,415,PH
nirce,nurse,416,PH
nerce,nurse,417,PH
wunce,once,418,PH
awte,ought,419,PH
paje,page,420,PH
paige,page,421,PH
paije,page,422,PH
paij,page,423,PH
parc,park,424,PH
paiv,pave,425,PH
pirl,pearl,426,PH
peaz,peas,427,PH
peaze,peas,428,PH
peez,peas,429,PH
purk,perk,430,PH
perck,perk,431,PH
purrk,perk,432,PH
pirck,perk,433,PH
purrck,perk,434,PH
peece,piece,435,PH
plaie,play,436,PH
plee ,plea,437,PH
pleed,plead,438,PH
pleaze,please,439,PH
pleeze,please,440,PH
poap,pope,441,PH
pron,prawn,442,PH
pryce,price,443,PH
preest,priest,444,PH
preast,priest,445,PH
prym,prim,446,PH
prymn,prim,447,PH
pryze,prize,448,PH
promb,prom,449,PH
prawm,prom,450,PH
prufe,proof,451,PH
pruve,prove,452,PH
prewd,prude,453,PH
prood,prude,454,PH
perge,purge,455,PH
perce,purse,456,PH
kwake,quake,457,PH
raje,rage,458,PH
raige,rage,459,PH
raije,rage,460,PH
raij,rage,461,PH
rade,raid,462,PH
raide,raid,463,PH
raize,raise,464,PH
rayk,rake,465,PH
raik,rake,466,PH
raique,rake,467,PH
rair,rare,468,PH
raire,rare,469,PH
rhare,rare,470,PH
rhair,rare,471,PH
reache,reach,472,PH
reech,reach,473,PH
reeche,reach,474,PH
reaf,reef,475,PH
rheef,reef,476,PH
reeph,reef,477,PH
reaph,reef,478,PH
reaphe,reef,479,PH
reak,reek,480,PH
rheek,reek,481,PH
rheak,reek,482,PH
rore,roar,483,PH
rhoar,roar,484,PH
rhore,roar,485,PH
roal,roll,486,PH
rooph,roof,487,PH
rufe,roof,488,PH
rewf,roof,489,PH
rewph,roof,490,PH
rood,rude,491,PH
wrude,rude,492,PH
wrood,rude,493,PH
rhum,rum,494,PH
rhumb,rum,495,PH
wrum,rum,496,PH
wruhm,rum,497,PH
saif,safe,498,PH
saiph,safe,499,PH
saiphe,safe,500,PH
sehd,said,501,PH
sande,sand,502,PH
sain,sane,503,PH
seighn,sane,504,PH
skab,scab,505,PH
scail,scale,506,PH
scaile,scale,507,PH
skare,scare,508,PH
scair,scare,509,PH
skair,scare,510,PH
scheam,scheme,511,PH
skeame,scheme,512,PH
skeme,scheme,513,PH
skeam,scheme,514,PH
skore,score,515,PH
scoar,score,516,PH
skoar,score,517,PH
seap,seep,518,PH
surve,serve,519,PH
shail,shale,520,PH
shayl,shale,521,PH
shair,share,522,PH
shaire,share,523,PH
shaul,shawl,524,PH
shean,sheen,525,PH
shyp,ship,526,PH
sherk,shirk,527,PH
shirque,shirk,528,PH
sherque,shirk,529,PH
shurt,shirt,530,PH
shert,shirt,531,PH
shooze,shoes,532,PH
shuze,shoes,533,PH
shoarn,shorn,534,PH
shoart,short,535,PH
shood,should,536,PH
shoan,shown,537,PH
shoen,shown,538,PH
seege,siege,539,PH
seeje,siege,540,PH
seaje,siege,541,PH
seaj,siege,542,PH
scate,skate,543,PH
skait,skate,544,PH
scait,skate,545,PH
sceight,skate,546,PH
skeat,skeet,547,PH
slaive,slave,548,PH
sleap,sleep,549,PH
slite,slight,550,PH
smawl,small,551,PH
smoak,smoke,552,PH
snair,snare,553,PH
snoar,snore,554,PH
soac,soak,555,PH
soke,soak,556,PH
sope,soap,557,PH
soald,sold,558,PH
soaled,sold,559,PH
supe,soup,560,PH
speek,speak,561,PH
spoart,sport,562,PH
squair,square,563,PH
skware,square,564,PH
skwair,square,565,PH
skwirt,squirt,566,PH
skwert,squirt,567,PH
stail,stale,568,PH
staile,stale,569,PH
stait,state,570,PH
staite,state,571,PH
steem,steam,572,PH
stinc,stink,573,PH
stynk,stink,574,PH
stync,stink,575,PH
stur,stir,576,PH
stich,stitch,577,PH
stawp,stop,578,PH
strade,strayed,579,PH
streat,street,580,PH
stroon,strewn,581,PH
sute,suit,582,PH
shure,sure,583,PH
swomp,swamp,584,PH
swop,swap,585,PH
swoth,swath,586,PH
swawth,swath,587,PH
sweigh,sway,588,PH
swet,sweat,589,PH
sweap,sweep,590,PH
tayk,take,591,PH
tayke,take,592,PH
taip,tape,593,PH
taipe,tape,594,PH
teighp,tape,595,PH
tawnt,taunt,596,PH
tont,taunt,597,PH
teech,teach,598,PH
teek,teak,599,PH
teem,team,600,PH
teeme,team,601,PH
turse,terse,602,PH
tirse,terse,603,PH
terce,terse,604,PH
turce,terse,605,PH
tirce,terse,606,PH
theem,theme,607,PH
theam,theme,608,PH
theef,thief,609,PH
theaf,thief,610,PH
theeph,thief,611,PH
theaph,thief,612,PH
thurd,third,613,PH
therd,third,614,PH
thret,threat,615,PH
thryve,thrive,616,PH
tite,tight,617,PH
tyme,time,618,PH
tighm,time,619,PH
tutch,touch,620,PH
tuch,touch,621,PH
trackz,tracks,622,PH
trax,tracks,623,PH
traid,trade,624,PH
trale,trail,625,PH
trayle,trail,626,PH
trane,train,627,PH
treign,train,628,PH
trile,trial,629,PH
tryx,tricks,630,PH
trype,tripe,631,PH
trawd,trod,632,PH
troal,troll,633,PH
trole,troll,634,PH
troopz,troops,635,PH
trupes,troops,636,PH
truepz,troops,637,PH
trewth,truth,638,PH
tipe,type,639,PH
vurse,verse,640,PH
vurce,verse,641,PH
vewd,viewed,642,PH
waje,wage,643,PH
waige,wage,644,PH
waije,wage,645,PH
wayje,wage,646,PH
wate,wait,647,PH
waik,wake,648,PH
wawk,walk,649,PH
whalk,walk,650,PH
whauk,walk,651,PH
wawl,wall,652,PH
welth,wealth,653,PH
wead,weed,654,PH
wheed,weed,655,PH
whead,weed,656,PH
wheade,weed,657,PH
weered,weird,658,PH
welte,welt,659,PH
whelt,welt,660,PH
whelte,welt,661,PH
wheal,wheel,662,PH
whimb,whim,663,PH
wimb,whim,664,PH
woez,woes,665,PH
wurd,word,666,PH
werd,word,667,PH
wurde,word,668,PH
werk,work,669,PH
werque,work,670,PH
wurld,world,671,PH
werld,world,672,PH
werlde,world,673,PH
wirst,worst,674,PH
whirst,worst,675,PH
wersed,worst,676,PH
wirth,worth,677,PH
werth,worth,678,PH
whirth,worth,679,PH
wherth,worth,680,PH
woond,wound,681,PH
whoond,wound,682,PH
raith,wraith,683,PH
rhaith,wraith,684,PH
rong,wrong,685,PH
yeer,year,686,PH
yung,young,687,PH
balk, - ,688,BW
balk, - ,688,BW
ball, - ,689,BW
bane, - ,690,BW
bane, - ,690,BW
barn, - ,691,BW
bask, - ,692,BW
binge, - ,693,BW
binge, - ,693,BW
bird, - ,694,BW
birth, - ,695,BW
black, - ,696,BW
black, - ,696,BW
blame, - ,697,BW
blame, - ,697,BW
bleak, - ,698,BW
bleak, - ,698,BW
blitz, - ,699,BW
blitz, - ,699,BW
bloat, - ,700,BW
blood, - ,701,BW
bloom, - ,702,BW
bloom, - ,702,BW
board, - ,703,BW
boat, - ,704,BW
bonds, - ,705,BW
bonds, - ,705,BW
bonds, - ,705,BW
bone, - ,706,BW
bone, - ,706,BW
bore, - ,707,BW
born, - ,708,BW
both, - ,709,BW
both, - ,709,BW
bought, - ,710,BW
bought, - ,710,BW
bowl, - ,711,BW
bowl, - ,711,BW
box, - ,712,BW
box, - ,712,BW
brain, - ,713,BW
brain, - ,713,BW
brave, - ,714,BW
breath, - ,715,BW
breed, - ,716,BW
bribe, - ,717,BW
bricks, - ,718,BW
bricks, - ,718,BW
bride, - ,719,BW
bride, - ,719,BW
brief, - ,720,BW
brief, - ,720,BW
brief, - ,720,BW
brine, - ,721,BW
brine, - ,721,BW
brown, - ,722,BW
brute, - ,723,BW
burn, - ,724,BW
cake, - ,725,BW
cake, - ,725,BW
cake, - ,725,BW
called, - ,726,BW
called, - ,726,BW
called, - ,726,BW
camp, - ,727,BW
cape, - ,728,BW
cape, - ,728,BW
cape, - ,728,BW
cape, - ,728,BW
celt, - ,729,BW
chafe, - ,730,BW
chair, - ,731,BW
chase, - ,732,BW
cheat, - ,733,BW
cheat, - ,733,BW
check, - ,733,BW
cheese, - ,734,BW
cheese, - ,734,BW
chide, - ,735,BW
chide, - ,735,BW
chide, - ,735,BW
chief, - ,736,BW
chief, - ,736,BW
chief, - ,736,BW
choice, - ,737,BW
choke, - ,738,BW
chore, - ,739,BW
church, - ,740,BW
church, - ,740,BW
churn, - ,741,BW
clap, - ,742,BW
clawed, - ,743,BW
clean, - ,744,BW
clean, - ,744,BW
clean, - ,744,BW
clear, - ,745,BW
clear, - ,745,BW
clear, - ,745,BW
climb, - ,746,BW
climb, - ,746,BW
climb, - ,746,BW
climb, - ,746,BW
climb, - ,746,BW
climb, - ,746,BW
clout, - ,747,BW
clout, - ,747,BW
clout, - ,747,BW
clunk, - ,748,BW
coast, - ,749,BW
coat, - ,750,BW
coat, - ,750,BW
coat, - ,750,BW
coat, - ,750,BW
code, - ,751,BW
code, - ,751,BW
code, - ,751,BW
coin, - ,752,BW
coin, - ,752,BW
coin, - ,752,BW
cope, - ,753,BW
cope, - ,753,BW
cope, - ,753,BW
cost, - ,754,BW
cost, - ,754,BW
cost, - ,754,BW
cost, - ,754,BW
cost, - ,754,BW
cough, - ,755,BW
cough, - ,755,BW
cough, - ,755,BW
court, - ,756,BW
court, - ,756,BW
court, - ,756,BW
court, - ,756,BW
crash, - ,757,BW
cream, - ,758,BW
cream, - ,758,BW
crick, - ,759,BW
crick, - ,759,BW
croak, - ,760,BW
croak, - ,760,BW
croak, - ,760,BW
crux, - ,761,BW
crux, - ,761,BW
crux, - ,761,BW
cute, - ,762,BW
cute, - ,762,BW
cute, - ,762,BW
dark, - ,763,BW
date, - ,764,BW
deal, - ,765,BW
deal, - ,765,BW
dearth, - ,766,BW
dense, - ,767,BW
dice, - ,768,BW
dirt, - ,769,BW
dive, - ,770,BW
doll, - ,771,BW
doom, - ,772,BW
doubt, - ,773,BW
dream, - ,774,BW
dream, - ,774,BW
dream, - ,774,BW
drink, - ,775,BW
dumb, - ,776,BW
fact, - ,777,BW
fall, - ,778,BW
fall, - ,778,BW
fall, - ,778,BW
false , - ,779,BW
false , - ,779,BW
false , - ,779,BW
fate, - ,780,BW
fate, - ,780,BW
fault, - ,781,BW
fault, - ,781,BW
fault, - ,781,BW
fear, - ,782,BW
fear, - ,782,BW
fear, - ,782,BW
fear, - ,782,BW
feed, - ,783,BW
feed, - ,784,BW
feed, - ,784,BW
feel, - ,785,BW
feel, - ,785,BW
feel, - ,785,BW
felt, - ,786,BW
fiend, - ,787,BW
fiend, - ,787,BW
fiend, - ,787,BW
fiend, - ,787,BW
fiend, - ,787,BW
film, - ,788,BW
finch, - ,789,BW
finch, - ,789,BW
fink, - ,790,BW
fink, - ,790,BW
fink, - ,790,BW
fink, - ,790,BW
firm, - ,791,BW
firm, - ,791,BW
firm, - ,791,BW
first, - ,792,BW
first, - ,792,BW
first, - ,792,BW
flame, - ,793,BW
flame, - ,793,BW
flame, - ,793,BW
flat, - ,794,BW
flaunt, - ,795,BW
flaunt, - ,795,BW
flaunt, - ,795,BW
flay, - ,796,BW
flight, - ,797,BW
flight, - ,797,BW
flight, - ,797,BW
flip, - ,798,BW
flip, - ,798,BW
flip, - ,798,BW
flock, - ,799,BW
flock, - ,799,BW
flock, - ,799,BW
flock, - ,799,BW
flock, - ,799,BW
flock, - ,799,BW
flog, - ,800,BW
floor, - ,801,BW
floor, - ,801,BW
floor, - ,801,BW
floor, - ,801,BW
floor, - ,801,BW
flows, - ,802,BW
flows, - ,802,BW
flows, - ,802,BW
flume, - ,803,BW
flume, - ,803,BW
flume, - ,803,BW
foal, - ,804,BW
foal, - ,804,BW
foal, - ,804,BW
foam, - ,805,BW
foam, - ,805,BW
foam, - ,805,BW
foes, - ,806,BW
force, - ,807,BW
force, - ,807,BW
force, - ,807,BW
force, - ,807,BW
fought, - ,808,BW
fought, - ,808,BW
fought, - ,808,BW
fought, - ,808,BW
fought, - ,808,BW
found, - ,809,BW
found, - ,809,BW
found, - ,809,BW
fox, - ,810,BW
fox, - ,810,BW
fox, - ,810,BW
fox, - ,810,BW
fox, - ,810,BW
fray, - ,811,BW
fray, - ,811,BW
fray, - ,811,BW
fray, - ,811,BW
freak, - ,812,BW
freak, - ,812,BW
freak, - ,812,BW
freak, - ,812,BW
fret, - ,813,BW
front, - ,814,BW
front, - ,814,BW
fruit, - ,815,BW
fruit, - ,815,BW
fruit, - ,815,BW
gaffe, - ,816,BW
gain, - ,817,BW
game, - ,818,BW
gape, - ,819,BW
gauge, - ,820,BW
gauge, - ,820,BW
gauge, - ,820,BW
gauge, - ,820,BW
gaze, - ,821,BW
ghost, - ,822,BW
